latitude;longitude;penggunaan_bbm;tingkat_kemacetan;risiko_pengiriman
4.093.343.302.416.780;-7.262.937.032.487.970;6.316.565.449.814.450;0.33624224778524325;9.833.855.715.839.160
30.173.660.555.818.400;-7.610.533.903.732.720;7.252.950.830.634.980;0.644617058393425;27.394.782.310.105.900
30.593.782.165.788.100;-7.544.302.770.946.830;6.924.271.708.129.730;2.739.684.457.833.030;7.242.122.867.830.920
31.498.009.907.289.800;-8.558.006.020.608.300;10.597.467.763.515.100;3.478.697.236.722.230;474.153.495.308.067
330.411.669.900.731;-7.000.862.009.477.820;6.145.832.552.969.660;0.6932829859449786;6.303.081.100.097.820
4.321.397.765.892.820;-9.804.880.611.183.720;13.665.198.195.010.000;0.08746865004354136;6.253.244.337.519.980
3.608.898.490.729.340;-11.545.563.404.895.200;5.000.000.010.780.090;8.367.594.105.056.030;9.917.038.013.352.250
4.972.819.676.296.600;-7.208.722.988.789.160;6.457.110.648.191.220;7.857.751.388.787.670;506.809.031.081.941
30.000.545.051.092.600;-9.989.123.917.189.010;5.084.755.437.121.670;4.696.515.466.749.220;11.800.701.632.022.600
4.646.719.949.797.360;-7.911.651.907.879.070;5.001.396.921.842.300;41.855.354.551.983.900;9.999.790.253.616.000
30.587.417.301.131.800;-8.629.224.161.545.620;5.019.909.978.146.370;0.11112438063191116;8.789.443.882.651.540
3.648.407.489.465.930;-8.312.402.125.757.230;504.931.724.596.547;0.0039476022544390876;0.8921077361935693
30.591.539.357.079.600;-8.675.351.887.385.340;5.005.284.485.315.200;0.35279205451080264;9.241.715.808.474.000
3.369.327.786.788.240;-9.966.392.215.033.110;1.295.631.376.049.550;7.466.644.445.636.040;9.997.185.793.828.780
425.797.752.039.137;-11.376.199.486.301.800;9.444.842.692.443.300;292.563.837.027.701;4.314.987.202.219.690
4.958.506.635.319.260;-8.161.383.165.509.240;5.148.622.994.993.490;2.021.015.593.125.340;994.662.191.968.737
48.894.793.148.241.000;-7.476.930.573.441.030;51.386.408.531.632.200;18.285.663.575.700.600;5.387.289.345.568.720
3.306.492.726.869.060;-7.074.482.514.565.160;1.977.062.600.073.360;3.681.385.909.289.240;9.998.609.225.434.440
30.211.892.074.439.500;-8.565.871.210.954.760;952.759.788.958.942;7.201.436.202.662.660;9.759.436.898.751.540
48.810.262.657.466.800;-9.139.259.645.322.270;50.862.826.222.920.300;5.826.481.238.227.440;991.299.876.494.509
3.471.477.505.918.350;-7.001.453.808.153.050;5.006.495.441.719.850;0.3198314075622624;8.042.660.740.745.300
4.848.156.186.751.880;-7.039.651.436.549.780;5.000.000.025.819.780;7.560.852.843.159.580;8.847.748.179.112.960
3.596.411.108.144.760;-8.547.025.222.729.320;10.130.380.086.639.100;0.08602403949732593;0.8868983987342267
4.914.614.729.060.230;-9.962.136.171.553.570;5.023.933.120.052.370;0.29413920785829034;9.388.283.792.645.280
30.536.415.954.832.000;-7.001.222.103.988.930;508.860.590.072.323;9.587.081.491.160.740;9.471.273.556.753.750
30.006.753.508.513.900;-11.832.488.775.812.100;5.132.583.904.479.980;0.8360996513624883;9.545.660.689.169.600
44.571.029.855.102.900;-7.556.792.009.079.400;7.419.786.758.053.950;9.850.356.936.707.730;7.159.164.031.786.650
3.003.245.667.574.440;-8.926.133.032.876.610;5.206.086.010.606.330;15.336.098.696.548.000;32.422.267.163.579.700
4.968.961.177.224.480;-10.752.104.185.619.100;5.595.187.628.684.570;807.595.036.689.736;7.454.954.287.874.270
420.310.961.392.535;-10.796.839.570.610.800;5.117.152.147.440.170;5.257.327.230.025.780;7.908.736.780.387.210
4.256.792.066.613.130;-7.270.787.874.958.080;7.535.644.020.682.060;8.940.248.074.733.400;995.132.020.266.258
4.838.523.026.688.370;-7.552.198.184.755.390;545.410.516.910.649;1.394.062.661.317.680;8.643.925.528.500.530
4.292.153.958.258.890;-9.408.294.335.249.860;5.034.619.612.542.690;5.439.359.466.541.690;999.983.579.300.649
4.461.980.145.515.330;-702.174.602.898.199;5.000.011.504.090.090;8.179.403.337.935.350;13.389.314.285.309.800
34.096.109.368.789.200;-11.320.165.133.071.400;6.041.293.584.349.210;9.349.321.675.836.730;9.712.305.031.022.570
4.650.478.868.274.290;-11.911.344.132.611.500;584.900.404.332.186;8.164.895.464.732.680;6.611.568.621.935.520
47.555.728.648.005.300;-1.119.382.418.298.150;5.013.151.052.535.830;9.947.525.092.819.280;9.855.036.375.090.430
3.347.008.236.862.970;-7.052.955.716.307.050;1.969.277.757.577.750;2.454.334.161.196.490;999.980.293.565.561
31.945.069.018.343.500;-10.676.221.548.845.700;5.051.867.420.398.950;9.962.106.579.140.420;9.891.576.883.116.950
30.516.352.784.380.800;-1.196.107.261.990.690;13.307.623.628.769.900;950.616.567.443.015;6.659.338.251.727.010
3.292.589.094.448.990;-1.100.476.182.761.070;50.363.385.871.890.300;8.822.111.054.214.800;0.21867001713090645
499.970.312.053.626;-8.974.674.963.677.250;5.196.119.661.986.440;7.977.570.601.891.300;99.198.199.132.562
3.392.685.208.428.990;-1.048.415.169.746.540;5.432.004.814.341.320;2.484.828.047.811.270;924.941.014.920.371
35.413.085.941.551.800;-8.076.955.942.948.290;7.487.709.897.526.460;9.999.624.305.487.050;9.339.963.993.270.860
30.011.568.988.602.600;-7.166.274.974.686.680;5.912.970.968.216.200;3.951.654.370.436.850;2.188.858.238.535.740
4.656.355.201.949.030;-9.849.435.618.025.870;9.640.740.209.869.700;4.871.446.106.731.050;9.062.402.249.496.170
3.071.441.817.910.600;-8.822.510.921.996.860;5.708.652.934.844.680;554.909.643.766.822;37.054.145.138.682.500
4.384.537.719.436.660;-11.291.734.778.005.200;8.107.600.353.634.890;2.031.156.055.195.360;2.425.259.879.933.590
33.777.100.289.456.600;-1.126.402.174.513.230;59.686.694.275.493.800;202.370.117.396.658;8.778.645.991.941.260
3.924.048.862.326.330;-7.911.869.261.116.780;5.014.566.061.468.960;6.102.601.982.551.490;0.0055812036538325435
31.877.046.127.626.100;-10.959.466.739.296.900;1.653.640.003.637.120;6.408.484.907.748.120;9.995.952.881.019.940
41.313.289.901.771.000;-7.033.450.964.686.790;5.377.564.950.287.850;9.941.060.069.892.350;8.325.822.197.249.320
4.984.849.792.037.370;-8.972.215.433.471.650;5.548.228.566.478.390;7.412.699.519.880.030;6.978.724.949.187.850
30.995.294.088.671.900;-769.799.303.325.745;15.986.162.882.072.900;49.358.590.314.365.400;7.273.968.013.746.910
49.695.731.267.496.200;-7.005.535.699.324.970;5.092.518.231.237.040;0.09406546080145184;21.844.350.071.055.100
3.349.692.097.928.620;-11.040.421.129.537.400;5.000.116.076.974.970;0.046093643794889554;6.910.669.308.389.440
3.925.177.656.250.570;-10.003.381.919.523.100;1.820.425.204.534.740;7.231.121.122.822.060;9.973.252.227.398.570
4.502.432.064.069.990;-9.437.396.327.898.990;5.157.528.505.800.220;12.987.736.440.817.600;0.21686988157267634
4.568.173.816.235.720;-11.911.720.384.920.200;1.654.978.752.809.920;0.0009409489246408905;9.514.767.687.108.820
31.623.536.954.586.300;-1.070.814.513.836.280;1.140.668.736.363.630;12.131.041.913.639.500;9.997.072.633.866.760
410.394.451.616.531;-11.999.546.974.890.000;1.874.448.866.881.640;0.8650365336693809;999.999.999.999.188
4.967.627.686.871.720;-9.505.595.077.067.480;5.047.149.022.974.690;9.993.322.991.863.480;9.957.765.377.675.440
3.549.245.876.060.550;-11.743.199.289.443.500;5.686.701.022.012.430;8.241.357.652.625.400;16.988.265.963.343.600
31.490.184.298.869.100;-10.413.654.188.982.400;500.309.165.701.619;9.042.082.210.716.420;9.605.914.441.065.090
4.995.938.918.369.980;-11.285.754.969.359.200;5.454.165.615.539.230;7.572.222.924.588.420;0.7700639885164238
4.261.256.390.494.980;-7.406.037.432.734.800;16.981.510.653.691.600;8.966.938.975.149.620;9.928.932.941.472.310
499.607.921.665.424;-9.618.559.658.857.010;12.071.066.577.967.800;7.860.447.515.056.890;9.999.908.311.896.770
45.390.390.729.572.200;-1.174.345.222.795.380;65.967.606.647.452.100;4.340.249.778.010.030;6.808.876.084.496.140
3.583.242.375.935.760;-7.579.134.547.179.700;9.616.829.730.954.720;9.404.711.966.863.020;6.149.276.097.703.820
3.973.724.571.286.030;-7.031.784.082.990.820;16.284.781.637.583.900;8.678.763.956.511.460;998.499.593.605.794
4.207.412.816.986.690;-700.629.096.991.022;7.371.290.246.508.220;7.272.590.653.302.130;9.928.849.912.834.620
4.559.561.869.254.830;-1.086.935.500.347.430;51.622.645.817.133.100;0.39341974249356265;9.770.867.597.957.010
4.108.801.791.945.600;-7.130.982.340.232.330;5.015.916.884.878.470;14.886.369.324.484.200;9.933.193.508.740.170
30.790.639.490.180.800;-11.871.578.236.429.200;5.277.531.087.657.620;8.963.374.794.589.310;5.839.939.034.443.610
30.078.789.413.559.400;-11.755.015.859.300.600;5.210.404.224.842.530;16.415.654.458.813.400;9.262.655.107.909.080
3.936.742.322.255.100;-10.646.714.203.671.100;1.077.874.384.777.040;0.005421300683864028;4.084.610.146.656.290
4.983.108.714.171.180;-700.545.156.033.963;5.258.974.139.536.850;2.642.651.882.038.890;0.011809386401348015
30.895.237.947.425.800;-8.505.816.330.309.510;5.000.001.282.315.540;1.568.428.511.685.520;8.652.851.274.785.930
4.652.861.945.255.390;-7.960.920.965.053.170;8.393.774.137.598.000;579.368.388.190.045;9.621.897.375.544.150
3.595.821.057.198.580;-7.030.699.104.897.310;1.974.686.368.996.850;119.676.119.016.258;0.4654040249099406
45.237.877.575.789.600;-7.003.488.132.688.990;5.012.173.686.761.370;9.968.564.159.608.330;547.238.848.943.071
4.807.079.529.033.790;-11.908.929.951.897.400;884.439.065.536.112;958.150.193.806.523;9.569.042.437.280.930
4.278.575.319.876.690;-7.024.552.569.258.560;846.800.009.101.038;14.572.079.019.519.900;1.180.429.767.030.220
3.268.624.289.234.510;-8.662.249.775.854.080;9.446.307.906.979.170;8.816.670.427.337.630;5.735.418.119.571.780
30.096.709.087.108.800;-7.049.457.734.147.930;50.458.834.234.514.000;25.119.545.473.732.200;36.900.464.381.673.900
3.540.528.887.657.170;-8.659.339.492.348.900;5.039.849.244.415.980;5.781.210.115.392.950;793.481.316.621.925
4.999.991.023.155.760;-713.594.950.332.149;18.516.870.553.185.000;16.910.104.352.732.100;9.390.299.940.146.690
3.561.925.816.621.450;-1.141.528.900.830.300;50.033.250.894.092.400;37.124.432.211.561.100;8.953.359.075.936.670
30.861.103.073.315.300;-7.511.337.680.083.180;5.276.119.885.160.830;6.269.426.489.470.830;6.021.306.356.343.600
3.787.901.990.446.020;-8.361.496.442.891.320;61.878.385.067.004.700;4.703.262.469.301.770;32.912.634.752.863.400
33.735.285.412.018.700;-8.550.103.215.932.430;16.679.994.373.411.800;36.793.473.201.617.200;8.822.932.822.535.230
43.303.999.316.387.300;-10.188.948.250.644.900;500.000.413.982.956;8.296.117.948.968.290;7.482.174.019.262.140
3.219.260.348.004.850;-7.537.550.398.944.070;119.252.926.240.655;1.129.502.868.656.380;9.967.330.717.784.920
34.794.551.136.356.100;-7.141.162.113.842.380;5.000.001.446.090.460;0.8925723313342065;7.768.659.152.430.000
39.581.850.005.087.900;-7.261.398.690.215.720;5.946.990.670.886.390;4.799.174.979.369.780;9.395.121.762.325.070
30.006.597.028.313.400;-1.199.059.125.370.260;5.160.705.992.256.310;29.264.646.801.744.400;7.712.345.481.281.520
43.544.851.952.268.700;-7.427.286.756.953.010;5.013.069.556.015.570;0.712654477123861;0.7512278409903849
4.494.036.723.140.070;-7.023.734.261.363.030;5.837.778.506.665.280;5.658.359.814.917.710;1.808.078.627.756.820
3.779.438.904.629.300;-11.312.630.857.998.100;5.002.124.244.331.120;0.08254044926021685;9.767.234.518.847.460
3.303.279.494.628.780;-7.006.455.598.958.760;5.022.563.764.098.940;9.168.390.682.512.760;999.326.617.831.882
3.241.689.243.667.800;-9.649.655.490.818.720;5.003.288.494.259.490;55.706.649.324.554.800;17.994.878.132.574.100
3.591.434.816.587.670;-7.357.051.110.077.980;8.316.098.215.019.830;0.722179071368203;9.997.961.881.380.180
4.438.390.704.547.510;-9.453.546.239.586.440;5.000.000.165.618.790;8.863.993.400.063.530;6.694.742.949.692.410
4.774.486.089.552.070;-9.836.948.384.969.910;5.096.865.876.964.980;1.690.884.349.389.360;7.659.364.769.891.240
4.993.353.200.963.750;-781.289.847.738.841;5.105.680.753.401.230;0.04460492939432084;4.071.608.565.798.480
31.189.689.723.099.100;-9.748.043.983.699.890;5.059.722.424.723.180;0.8063035889117902;0.3953446668802312
470.546.836.675.086;-9.979.199.080.972.510;8.424.978.596.844.290;5.002.817.011.775.770;9.084.639.482.103.860
4.711.707.994.981.340;-745.622.947.107.342;5.002.132.893.998.800;1.338.539.065.408.260;9.391.315.038.352.390
3.028.619.623.959.630;-11.590.676.351.229.500;6.347.521.672.766.350;9.247.832.996.601.200;9.488.169.425.701.040
3.001.393.621.549.330;-9.160.387.719.187.530;1.293.189.427.809.960;8.321.250.503.186.820;6.859.256.104.932.000
3.275.949.599.675.800;-7.160.796.462.575.060;5.184.543.368.454.260;992.063.032.361.233;9.997.248.281.553.180
3.491.235.786.095.020;-7.038.620.797.865.780;5.182.529.611.946.390;8.987.588.019.465.180;6.116.879.084.162.660
4.917.622.756.222.300;-7.503.405.866.983.230;6.576.370.073.525.430;9.327.748.624.881.670;8.735.503.761.296.430
4.507.750.804.360.380;-748.857.775.016.348;9.710.357.231.953.150;1.025.204.910.900.510;12.064.474.377.625.800
3.691.696.876.948.790;-8.807.718.561.841.820;5.008.565.335.976.430;15.327.197.385.854.300;16.404.359.175.903.700
3.554.319.094.256.780;-7.002.133.768.863.510;5.000.003.789.980.830;6.335.528.986.987.360;51.024.165.467.647.900
3.185.033.421.650.730;-10.372.350.122.077.200;5.689.338.755.743.840;2.269.031.752.853.950;969.271.615.186.616
3.584.255.010.555.810;-10.824.059.385.152.800;12.171.567.056.176.600;6.733.870.866.569.410;503.856.840.970.498
49.924.720.906.817.600;-11.023.738.560.988.900;5.859.817.169.627.830;9.915.542.799.501.220;8.273.771.316.754.070
3.870.182.780.241.060;-7.652.564.477.698.630;508.284.184.124.981;19.152.913.552.635.400;9.568.929.325.467.040
4.524.050.138.697.160;-8.364.589.064.885.700;511.573.368.915.334;0.04371217815338098;5.591.555.041.854.930
30.056.813.210.072.800;-7.038.369.987.878.330;7.484.161.484.391.080;0.08899934348415829;954.529.856.159.803
48.493.544.944.932.600;-7.008.640.759.241.150;7.100.034.336.769.050;931.696.007.614.997;9.626.858.841.585.650
3.307.730.977.967.940;-8.939.804.939.307.320;5.025.871.436.225.070;4.996.260.016.283.300;4.204.560.380.044.100
49.831.774.992.645.400;-733.662.164.768.832;504.452.947.311.393;0.8617813650868351;9.999.993.458.790.440
3.064.066.853.265.720;-8.217.230.833.550.830;72.092.640.557.131.000;760.542.896.756.256;65.373.403.312.750.600
30.002.324.234.727.300;-9.162.445.341.380.650;11.456.231.169.230.900;0.5131857109125008;9.931.299.346.474.670
4.520.358.050.607.430;-11.637.377.888.860.100;1.977.096.451.352.170;8.648.721.478.617.640;9.934.523.835.627.680
3.002.783.073.042.800;-10.178.761.392.700.600;50.042.791.518.577.200;8.569.045.610.845.800;6.374.610.008.061.230
451.783.849.440.847;-8.142.798.028.658.520;5.002.165.573.599.300;14.604.587.467.095.000;8.919.814.490.617.400
42.523.047.634.072.100;-8.546.611.386.527.070;6.915.258.349.270.110;22.126.041.323.715.700;995.641.904.605.619
4.963.681.317.034.150;-11.999.838.247.641.500;5.003.600.215.525.300;76.955.256.060.656.300;8.260.415.051.353.150
4.006.485.392.590.770;-9.511.830.446.176.960;5.437.456.945.889.570;9.965.402.002.049.620;6.101.274.680.524.930
4.925.840.829.220.920;-7.070.574.119.218.340;15.298.398.409.752.900;0.8570306013021602;0.5860052584289801
3.532.989.290.957.440;-7.911.440.294.052.450;5.071.020.713.581.590;9.608.868.629.619.390;6.443.068.990.971.020
30.219.944.273.581.200;-7.000.032.553.439.970;6.493.246.188.026.020;7.186.860.637.409.860;9.144.831.327.814.720
31.236.585.299.335.300;-7.092.466.871.599.370;5.331.312.920.617.890;37.341.104.876.551.300;9.587.506.584.769.700
3.267.629.790.404.820;-7.304.368.608.184.680;5.187.028.253.894.400;8.395.212.523.789.040;3.622.608.095.930.150
47.689.242.641.469.500;-7.993.193.445.870.580;536.592.651.417.836;8.823.605.662.417.720;7.552.420.617.020.440
3.429.523.974.663.140;-11.382.215.069.404.500;512.008.968.674.584;20.080.279.083.211.500;7.512.708.176.563.670
48.402.405.194.770.900;-11.516.596.298.677.900;5.887.862.295.376.800;4.962.923.240.323.030;9.183.890.946.205.630
4.923.772.202.041.450;-7.881.582.960.035.060;10.813.059.905.897.800;0.3703050102795912;8.854.906.134.135.240
4.657.344.256.928.750;-11.984.337.296.980.200;6.833.784.744.975.430;0.6182606534178698;8.912.569.454.815.050
4.722.130.040.224.640;-9.042.207.965.139.480;5.259.191.241.140.720;32.562.265.626.582.000;892.020.144.817.976
3.451.445.357.440.440;-7.201.722.403.280.680;5.020.454.094.796.600;9.618.962.563.179.340;6.105.610.299.280.550
4.915.374.074.468.190;-1.151.746.555.943.240;5.405.581.060.138.630;9.969.725.074.375.030;4.857.791.619.002.770
30.999.508.036.518.900;-8.440.083.856.484.610;6.542.282.972.645.140;7.010.517.260.240.780;999.916.004.667.736
3.824.241.587.224.830;-7.676.333.947.548.180;19.176.372.403.826.400;4.269.495.244.714.300;9.848.802.408.933.530
32.410.741.109.436.100;-7.853.501.439.598.010;1.031.696.267.112.050;9.526.785.253.331.470;7.429.185.264.025.010
4.334.179.762.727.460;-7.000.200.948.642.490;1.674.993.983.265.280;2.852.318.017.368.830;9.029.288.385.056.430
37.261.261.437.694.700;-7.000.604.152.889.420;5.236.722.803.224.820;7.437.743.435.823.540;28.871.065.282.895.500
4.966.626.980.592.270;-7.220.767.037.633.160;9.433.565.692.311;9.993.620.463.087.500;9.954.207.421.258.000
4.431.210.239.286.840;-11.710.822.203.159.600;5.338.741.623.910.440;8.554.369.238.491.020;2.431.709.853.719.080
35.464.817.822.943.100;-11.668.185.279.733.300;5.115.816.626.934.970;8.589.440.741.678.190;4.082.642.013.487.800
3.330.656.275.421.640;-11.342.392.681.733.200;5.069.540.096.724.590;5.146.382.420.239.640;9.999.998.533.210.800
3.249.155.731.680.330;-7.237.200.679.097.190;5.290.975.274.371.420;6.030.159.762.157.630;7.580.223.633.260.480
3.019.898.550.146.090;-1.153.743.153.857.060;19.574.391.274.658.200;0.5935163755091734;8.421.328.203.440.920
312.075.196.332.034;-9.399.620.995.149.930;5.276.990.458.888.570;8.184.329.381.423.260;22.062.492.921.569.000
320.916.480.606.687;-1.046.257.076.610.820;6.907.978.766.000.180;38.063.291.086.843.700;892.138.917.890.768
30.553.060.666.847.600;-9.846.076.752.624.330;19.850.077.256.281.200;0.15365371973342304;998.926.282.708.861
4.151.205.972.885.840;-834.763.181.350.155;9.978.138.169.715.090;9.626.835.757.131.910;71.627.154.067.258.700
3.583.929.704.989.880;-8.013.020.023.529.290;5.017.613.285.258.650;937.841.848.207.024;6.316.390.027.189.290
38.762.152.853.513.600;-11.932.735.921.402.400;1.714.071.718.695.060;2.133.578.022.799.030;6.422.295.798.731.530
45.310.565.804.671.200;-7.001.707.060.936.020;17.997.670.937.997.300;0.003362983344454349;9.999.028.781.859.190
4.246.408.364.929.060;-9.766.746.392.676.010;6.851.539.482.686.670;59.194.670.485.641.100;0.5321852978081449
3.019.208.012.124.300;-7.723.815.864.413.520;14.091.824.489.961.800;808.205.756.121.073;6.099.869.829.996.850
4.396.434.148.292.070;-8.495.838.734.071.070;500.000.000.000.005;645.859.712.323.253;17.727.681.892.216.300
47.610.049.753.184.100;-10.802.368.694.456.200;12.139.750.430.004.500;8.752.782.597.895.360;9.917.103.869.007.650
4.868.569.121.909.730;-1.051.248.548.809.730;11.444.530.177.647.800;1.077.187.281.930.590;30.733.249.174.985.600
3.251.624.759.771.630;-7.365.211.353.109.740;1.555.699.908.980.770;19.374.743.412.644.700;0.10730178411545258
3.235.239.680.570.570;-10.936.369.509.988.700;59.386.995.064.248.700;6.849.263.472.242.120;9.895.179.411.159.700
44.559.317.239.790.800;-7.108.424.405.356.620;5.038.594.309.425.090;317.326.561.638.599;0.45829350574488426
32.041.898.876.614.900;-9.478.535.448.124.130;8.419.925.983.935.490;9.993.304.299.720.290;0.9843173168985776
3.037.182.816.966.580;-9.507.601.071.208.400;5.186.917.272.023.500;9.544.803.837.506.840;56.378.322.847.274.500
3.592.923.468.943.420;-1.097.442.518.998.540;19.799.311.975.094.900;4.756.346.105.715.710;39.495.316.360.890.400
48.018.447.868.402.600;-8.559.064.616.816.020;5.000.058.472.372.890;6.184.968.129.794.210;9.928.340.405.967.220
30.881.649.735.001.000;-7.006.167.373.822.950;5.000.121.292.414.260;0.37441198010034704;8.299.813.776.395.360
4.928.823.492.617.800;-8.356.132.631.199.910;5.850.627.108.813.270;7.972.696.374.489.660;9.986.250.575.695.460
3.000.065.124.191.070;-7.782.175.249.565.470;5.000.250.668.384.180;2.139.053.978.691.830;6.561.050.357.851.940
30.025.109.688.039.200;-9.357.350.229.914.410;880.347.795.878.319;6.407.240.358.238.680;9.968.798.222.527.830
337.649.303.781.294;-7.001.338.625.238.920;5.012.152.766.759.320;1.022.119.125.695.600;9.300.584.365.400.280
4.177.790.798.876.710;-1.170.518.386.293.150;160.974.783.320.946;0.45774064685229343;0.5340595891758063
3.028.027.550.762.630;-10.454.420.227.007.700;6.209.151.573.188.790;595.541.793.473.383;9.678.647.030.557.970
4.751.197.148.971.210;-10.932.477.795.222.500;9.526.727.391.026.020;0.023451602113138945;9.914.266.617.249.870
30.298.328.526.300.400;-7.088.987.000.865.760;5.006.572.780.341.910;0.2823152098416804;15.196.889.526.445.800
30.822.551.543.810.400;-11.954.998.062.092.000;5.000.053.345.735.360;38.375.833.777.397.500;9.178.311.157.278.140
3.270.787.227.992.130;-7.170.263.285.680.540;9.766.008.231.189.730;0.5200357096035197;9.642.482.492.799.860
3.190.073.276.896.040;-8.313.115.421.135.910;16.913.888.975.114.400;8.010.237.867.351.090;4.744.596.923.915.150
42.596.436.365.535.300;-10.474.472.489.701.600;17.525.693.249.315.300;8.529.613.311.655.020;9.017.967.113.261.650
3.690.796.534.742.310;-881.319.095.170.498;546.324.441.414.267;4.936.901.028.196.340;8.110.895.896.859.930
4.999.988.102.079.660;-7.308.532.738.911.620;507.097.065.322.337;8.315.395.270.796.130;9.909.505.059.508.440
4.951.069.798.795.240;-9.041.221.023.745.000;65.473.873.783.737.500;7.011.353.279.827.300;9.524.533.426.456.240
31.452.842.179.146.800;-9.103.277.473.581.710;8.090.985.810.002.620;0.5960708652025783;963.434.371.772.341
395.819.497.480.526;-7.017.809.548.067.620;5.342.376.401.182.130;15.469.831.325.373.500;14.590.934.144.597.700
311.663.386.898.381;-10.448.889.257.809.700;5.000.001.578.003.420;19.225.581.765.795.000;9.999.999.456.728.710
4.988.427.468.827.680;-7.397.239.990.979.420;5.370.518.220.153.560;19.612.703.734.959.000;9.361.585.759.993.940
3.263.318.534.306.890;-7.001.701.305.905.470;17.416.381.024.183.800;5.734.883.118.666.010;9.996.305.820.893.930
4.435.409.928.716.080;-9.499.798.781.107.600;5.068.525.040.312.000;6.790.552.576.502.480;9.583.404.371.285.960
4.071.549.077.537.920;-7.389.976.696.156.220;5.105.955.880.942.710;6.113.684.766.264.020;995.510.370.212.375
4.939.866.792.300.800;-1.041.424.411.926.690;5.084.079.060.916.190;899.236.162.288.301;4.630.693.500.761.360
30.320.799.911.377.800;-1.043.046.628.383.550;7.827.093.113.830.560;872.690.624.302.459;2.701.688.142.999.800
3.116.178.719.690.170;-7.178.329.637.474.920;5.000.012.916.967.540;9.136.643.745.553.420;993.392.280.474.479
4.283.467.234.245.430;-7.338.499.948.508.630;50.012.565.218.533.400;1.851.017.924.448.660;6.669.617.090.845.080
4.937.793.321.507.760;-7.011.305.149.384.110;1.990.628.460.839.240;1.644.461.838.588.910;9.532.895.589.362.190
302.358.933.499.781;-9.146.142.628.407.810;50.453.421.288.028.800;6.308.922.830.396.580;888.308.203.990.097
3.021.253.260.023.180;-7.111.912.529.888.540;5.093.612.909.077.230;22.609.424.703.243.600;949.114.037.915.825
3.064.146.692.050.060;-7.063.239.670.550.760;5.930.647.829.824.740;8.146.045.491.601.920;9.999.989.307.033.610
3.288.541.628.286.370;-9.440.959.758.545.470;15.913.247.524.364.800;9.571.941.835.213.340;3.769.449.549.399.790
30.476.102.696.120.100;-10.771.332.689.381.000;8.102.337.056.489.740;23.767.229.946.930.100;9.981.554.308.842.030
309.202.790.068.417;-11.893.043.970.705.400;14.562.146.527.176.500;50.460.866.378.264.100;4.021.026.449.694.550
30.007.710.827.068.800;-110.704.234.090.243;7.946.862.487.268.980;6.664.815.847.731.760;9.996.467.928.529.930
4.653.667.238.008.500;-7.043.454.178.675.070;5.972.096.219.084.050;9.879.372.050.229.210;9.908.378.985.898.150
49.888.804.182.673.400;-7.577.323.164.390.870;9.695.582.643.223.810;5.523.044.114.906.490;6.338.574.697.124.000
34.310.617.324.409.100;-7.052.498.777.955.750;5.003.301.842.359.960;9.298.652.379.285.050;8.596.779.373.047.220
30.023.109.260.669.300;-7.505.726.647.691.120;504.324.732.139.934;0.8562800764776678;9.956.600.353.842.700
30.012.384.741.525.300;-7.171.495.922.233.990;136.463.290.519.506;28.639.868.870.201.500;4.516.019.986.077.350
31.582.229.589.687.700;-8.725.243.698.762.150;501.648.286.942.001;4.245.543.797.221.160;3.554.842.669.153.650
3.450.603.239.164.710;-11.969.494.612.051.700;50.000.634.227.803.600;4.509.443.129.403.440;22.794.475.584.411.000
303.649.653.412.586;-72.760.401.769.531;6.077.491.851.877.250;31.789.097.501.390.900;9.699.338.180.290.160
30.683.263.570.007.000;-9.890.976.624.527.570;1.549.133.955.170.160;6.531.853.872.897.770;7.818.917.281.507.040
30.756.300.246.086.200;-7.461.162.679.786.220;5.255.388.703.438.180;5.569.212.176.903.780;9.756.229.268.437.110
30.536.236.580.070.000;-701.261.002.896.982;5.911.208.453.769.060;9.051.409.554.566.490;1.128.814.454.645.820
390.637.238.862.203;-9.584.800.475.303.430;1.181.967.553.170.530;6.932.617.182.964.520;9.999.500.896.345.460
30.098.470.206.047.400;-8.149.807.019.306.610;17.351.562.461.067.300;16.525.798.303.443.200;1.826.159.462.736.430
3.993.038.317.044.940;-8.935.813.827.472.340;7.874.779.157.466.410;0.6760575209111669;9.968.514.092.798.540
4.137.876.731.844.680;-7.000.032.799.523.690;5.000.000.338.574.920;9.950.154.498.238.620;9.999.999.539.740.560
4.256.750.670.180.350;-7.204.671.067.396.990;16.939.943.153.757.800;0.37308570311512884;911.711.060.415.378
3.657.728.884.816.240;-7.326.607.431.459.340;5.218.395.922.205.680;0.06950298824572718;24.424.661.371.009.200
4.848.106.355.021.700;-7.743.750.863.354.560;5.070.512.840.560.710;7.557.344.917.939.560;9.976.701.105.225.900
36.467.969.095.082.600;-9.251.936.285.858.300;17.172.423.028.390.100;7.761.081.787.467.510;9.991.630.399.918.110
30.360.943.243.424.500;-7.040.813.073.526.620;9.294.106.436.600.560;21.976.640.111.206.700;4.812.591.062.948.540
30.421.580.277.438.500;-10.253.362.608.348.700;6.677.863.707.910.470;0.9136004100706641;9.999.631.762.187.070
421.698.038.135.181;-9.828.450.400.221.090;8.074.430.252.146.230;9.838.135.171.365.300;0.48075757501037764
3.439.889.204.699.560;-7.016.455.472.000.370;504.696.402.758.977;0.1548945108256494;6.645.679.898.713.210
3.904.532.403.095.290;-7.350.525.848.378.840;5.000.698.449.775.710;33.323.046.712.569.200;0.1473856051718215
